,file,index,accuracy,std-dev,t-test,p-val
0,FAC008.mat,0,0.5384711779448621,0.07987463658359892,-0.4462673331585385,0.6557078712474953
1,FAC008.mat,1,0.5584743107769423,0.11203378857496758,-0.11147524026029398,0.9113098258761596
2,FAC008.mat,2,0.5758771929824562,0.1424831179623686,-0.2229940553241938,0.8236833014308251
3,FAC008.mat,3,0.531625939849624,0.13780124257237847,0.33442572078088195,0.7382787893525264
4,FAC008.mat,4,0.5816259398496241,0.051976807034763935,0.11145781953190814,0.911323628399982
5,FAC008.mat,5,0.6121867167919799,0.12019387401358493,-0.8944975158961207,0.371732269607722
6,FAC008.mat,6,0.5806077694235589,0.09342020691017054,-0.334582654492373,0.7381605000436635
7,FAC008.mat,7,0.6390977443609023,0.11686001183656633,-0.2229940553241938,0.8236833014308251
8,FAC008.mat,8,0.5922149122807018,0.11373310005385805,0.11145781953190814,0.911323628399982
9,FAC008.mat,9,0.6112625313283208,0.08935198344247311,1.570814576041373,0.11722015625357726
10,FAC008.mat,10,0.537546992481203,0.0810528489951678,0.44598811064838767,0.6559093400994884
11,FAC008.mat,11,0.549420426065163,0.06876211554776404,-0.2229940553241938,0.8236833014308251
12,FAC008.mat,12,0.5015664160401003,0.08401318774290979,1.1181218948701508,0.2643588990121613
13,FAC008.mat,13,0.5568922305764411,0.10362539095519868,1.0056378177528424,0.31535441299075917
14,FAC008.mat,14,0.587249373433584,0.07027214710065836,0.0,1.0
15,FAC008.mat,15,0.5118577694235589,0.11894049291506416,0.8933743040063461,0.37233234523015857
16,FAC008.mat,16,0.5440319548872181,0.10475212240238248,-0.334582654492373,0.7381605000436635
17,FAC008.mat,17,0.550015664160401,0.0780599776681458,-0.8944975158961208,0.37173226960772165
18,FAC008.mat,18,0.549357769423559,0.10595403790376044,-1.1198843831880463,0.26360813987312876
19,FAC008.mat,19,0.5490288220551378,0.08562221504792364,0.6694009997378076,0.5037254306331254
20,FAC008.mat,20,0.49968671679197996,0.05154928349248919,-1.1198843831880463,0.26360813987312876
21,FAC008.mat,21,0.537484335839599,0.05865024587861162,-0.2229940553241938,0.8236833014308251
22,FAC008.mat,22,0.500344611528822,0.11554145919744531,-0.6700307280047596,0.5033244534633852
23,FAC008.mat,23,0.6193609022556391,0.1128153146151421,0.11145781953190814,0.911323628399982
24,FAC008.mat,24,0.6132048872180451,0.07417276024716231,-0.2229940553241938,0.8236833014308251
25,FAC008.mat,25,0.5075501253132833,0.09940094082276474,0.11145781953190814,0.911323628399982
26,FAC008.mat,26,0.44284147869674184,0.1096745662835795,0.33442572078088195,0.7382787893525264
27,FAC008.mat,27,0.5005795739348371,0.09833753678591071,-0.8944975158961207,0.371732269607722
28,FAC008.mat,28,0.5513001253132832,0.10662245810118288,-0.8944975158961207,0.371732269607722
29,FAC008.mat,29,0.5479010025062657,0.14059759115509085,0.44598811064838767,0.6559093400994884
30,FAC008.mat,30,0.5687969924812031,0.07371441378833783,0.11145781953190814,0.911323628399982
31,FAC008.mat,31,0.618828320802005,0.07788131707484071,-0.334582654492373,0.7381605000436635
32,FAC009.mat,0,0.578450226244344,0.06460100586259714,-2.2448522029005735,0.025046742242204014
33,FAC009.mat,1,0.5048039215686274,0.07055196040700562,-3.1482565121168347,0.0017026665309924256
34,FAC009.mat,2,0.5448491704374058,0.06762759194669751,-2.693395604433551,0.007219080178906348
35,FAC009.mat,3,0.5548529411764705,0.06728477023276742,-3.301423224710576,0.0010040723545830879
36,FAC009.mat,4,0.5771078431372549,0.07959963744540122,-1.7284978790940952,0.0842800775628044
37,FAC009.mat,5,0.5828751885369533,0.06773764175635183,-3.4554164883955503,0.0005780233348327473
38,FAC009.mat,6,0.5174490950226245,0.04891759511591313,-1.4363734261883332,0.15128221038841488
39,FAC009.mat,7,0.5367741327300151,0.0435370194985177,-2.618221354931769,0.009004022876657762
40,FAC009.mat,8,0.5664724736048266,0.09506365002871968,-1.7284978790940952,0.0842800775628044
41,FAC009.mat,9,0.5571097285067874,0.074501604760702,-4.31868313079688,1.764296323228335e-05
42,FAC009.mat,10,0.5299490950226244,0.07462214448037667,-2.844273946132609,0.004563448359439505
